'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'2/17/24 0:00','2/16/24 0:00',344,36,M,H,101,400,IC,5
'12/21/23 0:00','12/21/23 0:00',344,36,M,H,108,400,AO,5
'11/26/21 0:00','11/26/21 0:00',344,36,M,H,108,400,IC,5
'9/14/20 0:00','9/13/20 0:00',344,30,F,H,108,400,IC,3
'10/13/23 0:00','10/10/23 0:00','1822 0344 0929',43,M,W,501,400,IC,3
'5/16/23 0:00','5/10/23 0:00',344,36,M,H,101,400,IC,5
'8/20/20 0:00','8/18/20 0:00',344,36,M,H,101,400,IC,5
'4/21/24 0:00','4/21/24 0:00',325,50,M,W,405,400,IC,4
'4/3/23 0:00','4/3/23 0:00',344,36,M,H,108,400,IC,5
'3/10/23 0:00','3/10/23 0:00',344,36,M,H,101,400,IC,5
'6/17/21 0:00','6/16/21 0:00','0344 1606',27,M,O,123,400,IC,3
