'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'1/29/21 0:00','1/28/21 0:00',344,31,M,H,203,400,IC,3
'12/6/22 0:00','12/3/22 0:00','0344 1822 1501 1300',30,F,H,123,400,IC,3
'1/24/22 0:00','1/21/22 0:00','0311 0329',35,M,H,704,400,IC,8
'6/30/20 0:00','6/29/20 0:00',344,36,M,H,101,400,IC,5
'8/22/21 0:00','7/15/21 0:00','1251 1258 0913 0400 0419 0416',13,F,H,504,400,AO,7
'11/27/23 0:00','11/21/23 0:00','0344 1822',58,M,H,101,400,IC,3
'8/28/21 0:00','8/24/21 0:00','1251 0385',30,F,W,707,400,IC,3
'10/4/23 0:00','10/3/23 0:00',344,36,M,H,101,400,IC,5
'10/2/21 0:00','10/2/21 0:00',344,48,M,W,103,400,IC,4
'5/21/20 0:00','5/21/20 0:00','0913 2000 1814 1309 0319 0421 0401',38,M,B,101,400,AA,7
'11/28/22 0:00','11/26/22 0:00',344,36,M,B,108,400,IC,3
'12/7/23 0:00','12/7/23 0:00','1822 0329 1307 1202',69,M,B,122,400,IC,8
'4/2/24 0:00','4/2/24 0:00',344,36,M,W,401,400,IC,10
'1/28/21 0:00','1/28/21 0:00','2000 0913 0400 0408 1814',58,F,B,501,400,AO,2
'12/2/20 0:00','12/1/20 0:00','0448 1810',49,F,W,501,400,AO,7
'4/28/21 0:00','4/28/21 0:00','2000 1814 0913 0527 2033',47,F,B,502,400,AO,1
'7/24/24 0:00','6/2/24 0:00','1300 0329 0344 1307',21,F,B,101,400,IC,3
'1/31/24 0:00','1/31/24 0:00',377,46,M,O,501,400,AA,3
'4/19/23 0:00','4/19/23 0:00','0450 1822 1300 1100 0432 0345',24,M,B,101,102,IC,2
'2/25/20 0:00','2/25/20 0:00','0344 1822 1606 1310',72,M,H,101,400,IC,3
'2/12/24 0:00','2/11/24 0:00','0344 1822 0358 2034',36,M,H,210,400,IC,3
'8/27/24 0:00','8/14/24 0:00','0930 0922 0100 1822',35,M,W,501,400,IC,3
